AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,GyroZ_range,GyroZ_median,label
11.725,5.72886304556775,-2,19,21,10.0,-0.7,6.862009872273537,-14,18,32,0.0,3.075,5.0250015945908935,-14,13,27,3.0,33.05,105.52407672768696,0,498,498,0.0,-28.175,187.422584018042,-659,271,930,0.0,-21.6,234.00742920488,-397,585,982,0.0,badminton
11.775,5.806660631749344,-1,19,20,10.0,-1.4,6.678707075858934,-15,13,28,0.0,0.5,4.898979485566356,-13,16,29,1.0,32.025,101.97548410757538,0,452,452,0.0,-14.3,154.27883514714185,-463,364,827,0.0,-27.025,243.19122870274072,-473,510,983,0.0,badminton
10.15,5.245510901274023,-3,19,22,9.0,-1.325,5.576450024145726,-19,8,27,-1.0,2.375,4.688707109531833,-11,16,27,2.0,19.575,90.82552659936128,0,515,515,0.0,-17.55,151.92237390294986,-604,253,857,0.0,-7.275,206.8230988810709,-470,499,969,0.0,badminton
11.05,5.300943312279429,0,19,19,9.0,-2.025,5.989253196029857,-16,12,28,0.0,1.4,1.91886718718396,-5,6,11,2.0,11.85,74.94598054599058,0,474,474,0.0,-60.75,155.09976111340694,-639,102,741,0.0,-24.7,205.35824857163703,-421,446,867,0.0,badminton
11.85,5.186520991955976,1,19,18,10.0,0.225,5.920358183897409,-11,16,27,0.0,1.8,4.415590096174677,-11,15,26,2.0,21.3,126.12675756697695,-336,570,906,0.0,-20.2,168.7959168299445,-638,322,960,0.0,-43.5,226.5589864891136,-411,579,990,0.0,badminton
12.0,5.257473313391675,-1,19,20,10.5,0.675,5.141024042457709,-10,13,23,0.0,0.8,4.926120853842977,-12,9,21,1.5,46.125,128.49028447757522,0,499,499,0.0,-32.325,171.94548741105606,-574,262,836,0.0,-30.275,221.39904656640422,-392,488,880,0.0,badminton
11.75,5.072550564634051,1,19,18,10.0,-0.3,6.3818653329732,-17,14,31,0.0,-0.4,5.6559476296853735,-18,11,29,0.0,17.45,143.39884310944842,-342,610,952,0.0,-19.9,164.44074608915813,-829,249,1078,0.0,-46.65,235.3616475303594,-485,572,1057,0.0,badminton
11.05,5.05837715944348,0,19,19,10.0,-0.375,7.375244454879497,-17,19,36,0.0,2.15,4.394343683675232,-10,13,23,2.0,25.6,93.62713829676214,0,425,425,0.0,-37.2,143.28995169379553,-641,185,826,0.0,-20.125,233.87671390647745,-393,726,1119,0.0,badminton
11.9,5.396104958018211,0,19,19,10.0,0.45,5.21314905569782,-10,15,25,0.5,0.925,6.700124376955003,-19,13,32,1.0,42.675,137.94822282105406,0,628,628,0.0,-51.9,219.1146287056629,-857,307,1164,0.0,-36.55,207.44872088029803,-389,478,867,0.0,badminton
11.425,5.439115218394841,0,19,19,9.0,0.075,6.406677205893303,-18,12,30,1.0,1.825,6.348379563079312,-19,14,33,2.0,26.625,118.25324574067778,0,590,590,0.0,-47.95,189.25724590674233,-735,282,1017,0.0,-25.175,222.53941022336718,-409,598,1007,0.0,badminton
